section,label,value_formula,notes
Today,New leads today,"=COUNTIFS('customer-leads-template'!B:B,"">=""&TODAY(),'customer-leads-template'!N:N,""New lead"")",Count of new leads created today
Today,Need reply today,"=COUNTIFS('customer-leads-template'!T:T,""<=""&TODAY(),'customer-leads-template'!N:N,""<>Closed"")",Open rows with follow-up due today or overdue
Today,Paid but awaiting action,"=COUNTIFS('customer-leads-template'!M:M,""Paid*"",'customer-leads-template'!O:O,""Awaiting*"",'customer-leads-template'!N:N,""<>Closed"")",Paid customers still waiting on next step
Today,Waiting for records,"=COUNTIFS('customer-leads-template'!O:O,""Awaiting records"",'customer-leads-template'!N:N,""<>Closed"")",Cases blocked by missing medical records
This week,New leads this week,"=COUNTIFS('customer-leads-template'!B:B,"">=""&TODAY()-WEEKDAY(TODAY(),2)+1,'customer-leads-template'!B:B,""<""&TODAY()+1)",Week-to-date leads
This week,Paid starter this week,"=COUNTIFS('customer-leads-template'!M:M,""Paid - starter"",'customer-leads-template'!B:B,"">=""&TODAY()-WEEKDAY(TODAY(),2)+1)",Week-to-date starter payments
This week,Paid standard this week,"=COUNTIFS('customer-leads-template'!M:M,""Paid - standard"",'customer-leads-template'!B:B,"">=""&TODAY()-WEEKDAY(TODAY(),2)+1)",Week-to-date standard payments
This week,Closed this week,"=COUNTIFS('customer-leads-template'!N:N,""Closed"",'customer-leads-template'!B:B,"">=""&TODAY()-WEEKDAY(TODAY(),2)+1)",Week-to-date closed cases
Priority,High priority open cases,"=COUNTIFS('customer-leads-template'!P:P,""High"",'customer-leads-template'!N:N,""<>Closed"")",Open cases marked high priority
Priority,Paid clients open,"=COUNTIFS('customer-leads-template'!M:M,""Paid*"",'customer-leads-template'!N:N,""Paid client"")",Open paid-client rows
